# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
3.653999999999999773e+02 3.431000000000000078e-18
3.783000000000000114e+02 3.293999999999999960e-18
3.916999999999999886e+02 3.163999999999999881e-18
4.055000000000000000e+02 3.040000000000000002e-18
4.198999999999999773e+02 2.921999999999999936e-18
4.346999999999999886e+02 2.808000000000000004e-18
4.501000000000000227e+02 2.699000000000000044e-18
4.660000000000000000e+02 2.595000000000000059e-18
4.823999999999999773e+02 2.493999999999999980e-18
4.995000000000000000e+02 2.397999999999999874e-18
5.171000000000000227e+02 2.305999999999999902e-18
5.353999999999999773e+02 2.216999999999999836e-18
5.542999999999999545e+02 2.133000000000000129e-18
5.737999999999999545e+02 2.051000000000000103e-18
5.941000000000000227e+02 1.972999999999999825e-18
6.151000000000000227e+02 1.897999999999999838e-18
6.367999999999999545e+02 1.824999999999999919e-18
6.592999999999999545e+02 1.756000000000000132e-18
6.826000000000000227e+02 1.689000000000000026e-18
7.067000000000000455e+02 1.625000000000000020e-18
7.317000000000000455e+02 1.563000000000000080e-18
7.575000000000000000e+02 1.503000000000000014e-18
7.842999999999999545e+02 1.445000000000000015e-18
8.120000000000000000e+02 1.389999999999999922e-18
8.407000000000000455e+02 1.337000000000000089e-18
8.703999999999999773e+02 1.285000000000000096e-18
9.011000000000000227e+02 1.236000000000000010e-18
9.328999999999999773e+02 1.187999999999999957e-18
9.658999999999999773e+02 1.141999999999999971e-18
1.000000000000000000e+03 1.097000000000000018e-18
-----------------------


C31 O2 Excitation 0.19 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 1.224999999999999937e-16
1.034999999999999920e+00 1.296000000000000006e-16
1.072000000000000064e+00 1.370999999999999993e-16
1.110000000000000098e+00 1.448000000000000060e-16
1.149000000000000021e+00 1.527999999999999881e-16
1.189999999999999947e+00 1.610999999999999948e-16
1.231999999999999984e+00 1.697000000000000014e-16
1.274999999999999911e+00 1.786000000000000080e-16
1.320000000000000062e+00 1.876999999999999981e-16
1.366999999999999993e+00 1.970999999999999881e-16
1.415000000000000036e+00 2.067000000000000110e-16
1.465000000000000080e+00 2.164999999999999928e-16
1.516999999999999904e+00 2.263999999999999909e-16
1.570000000000000062e+00 2.364999999999999973e-16
1.625999999999999890e+00 2.466999999999999954e-16
1.683000000000000052e+00 2.569999999999999853e-16
1.743000000000000105e+00 2.671999999999999834e-16
1.804000000000000048e+00 2.775000000000000225e-16
1.868000000000000105e+00 2.877000000000000207e-16
1.933999999999999941e+00 2.976999999999999859e-16
2.001999999999999780e+00 3.075000000000000170e-16
2.072999999999999954e+00 3.170000000000000234e-16
2.145999999999999908e+00 3.262999999999999971e-16
2.221999999999999975e+00 3.352000000000000036e-16
2.299999999999999822e+00 3.436000000000000021e-16
2.382000000000000117e+00 3.516999999999999759e-16
2.466000000000000192e+00 3.591999999999999992e-16
2.552999999999999936e+00 3.661000000000000226e-16
2.642999999999999794e+00 3.724999999999999885e-16
2.736000000000000210e+00 3.783000000000000039e-16
2.833000000000000185e+00 3.835000000000000193e-16
2.932999999999999829e+00 3.879999999999999939e-16
3.036999999999999922e+00 3.919000000000000178e-16
3.144000000000000128e+00 3.951999999999999925e-16
3.254999999999999893e+00 3.977999999999999756e-16
3.370000000000000107e+00 3.998999999999999999e-16
3.488999999999999879e+00 4.014000000000000242e-16
3.612000000000000099e+00 4.022999999999999994e-16
3.740000000000000213e+00 4.026000000000000240e-16
3.871999999999999886e+00 4.024999999999999830e-16
4.009000000000000341e+00 4.020000000000000241e-16
4.150000000000000355e+00 4.010000000000000079e-16
4.296999999999999709e+00 3.996000000000000246e-16
4.448999999999999844e+00 3.979000000000000167e-16
4.605999999999999872e+00 3.958999999999999842e-16
4.769000000000000128e+00 3.935999999999999764e-16
4.937000000000000277e+00 3.910999999999999851e-16
5.110999999999999766e+00 3.884000000000000102e-16
5.291999999999999815e+00 3.855000000000000025e-16
5.479000000000000092e+00 3.825000000000000031e-16
5.671999999999999709e+00 3.794000000000000119e-16
5.873000000000000220e+00 3.761999999999999796e-16
6.080000000000000071e+00 3.729999999999999966e-16
6.294999999999999929e+00 3.697000000000000219e-16
6.517000000000000348e+00 3.663999999999999979e-16
6.748000000000000220e+00 3.631000000000000231e-16
6.985999999999999766e+00 3.598999999999999909e-16
7.232999999999999652e+00 3.566000000000000161e-16
7.488000000000000433e+00 3.533999999999999838e-16
7.753000000000000114e+00 3.502000000000000009e-16
8.025999999999999801e+00 3.471000000000000097e-16
8.310000000000000497e+00 3.441000000000000102e-16
8.602999999999999758e+00 3.411000000000000108e-16
8.907000000000000028e+00 3.382000000000000031e-16
9.221999999999999531e+00 3.353999999999999872e-16
9.548000000000000043e+00 3.327000000000000123e-16
9.884999999999999787e+00 3.299999999999999882e-16
1.023000000000000043e+01 3.274999999999999969e-16
1.059999999999999964e+01 3.250000000000000055e-16
1.097000000000000064e+01 3.225000000000000142e-16
1.135999999999999943e+01 3.202000000000000064e-16
1.175999999999999979e+01 3.179999999999999904e-16
1.216999999999999993e+01 3.158000000000000237e-16
1.259999999999999964e+01 3.136999999999999994e-16
1.305000000000000071e+01 3.117000000000000162e-16
1.350999999999999979e+01 3.096999999999999837e-16
1.399000000000000021e+01 3.077999999999999923e-16
1.448000000000000043e+01 3.059999999999999926e-16
1.499000000000000021e+01 3.042999999999999847e-16
1.551999999999999957e+01 3.025999999999999768e-16
1.607000000000000028e+01 3.009000000000000182e-16
1.664000000000000057e+01 2.993000000000000021e-16
1.723000000000000043e+01 2.977999999999999777e-16
1.782999999999999829e+01 2.963000000000000026e-16
1.846000000000000085e+01 2.949000000000000193e-16
1.912000000000000099e+01 2.934999999999999867e-16
1.978999999999999915e+01 2.921999999999999952e-16
2.048999999999999844e+01 2.909000000000000036e-16
2.121000000000000085e+01 2.896000000000000121e-16
2.196000000000000085e+01 2.883000000000000205e-16
2.273999999999999844e+01 2.871000000000000208e-16
2.353999999999999915e+01 2.859000000000000210e-16
2.437000000000000099e+01 2.847000000000000212e-16
2.523999999999999844e+01 2.835000000000000214e-16
2.612999999999999901e+01 2.823000000000000217e-16
2.705000000000000071e+01 2.812000000000000136e-16
2.801000000000000156e+01 2.800000000000000139e-16
2.898999999999999844e+01 2.788000000000000141e-16
3.001999999999999957e+01 2.776000000000000143e-16
3.107999999999999829e+01 2.764000000000000145e-16
3.217999999999999972e+01 2.752000000000000148e-16
3.331000000000000227e+01 2.740000000000000150e-16
3.449000000000000199e+01 2.727000000000000234e-16
3.571000000000000085e+01 2.712999999999999908e-16
3.696999999999999886e+01 2.699000000000000075e-16
3.827000000000000313e+01 2.683999999999999831e-16
3.963000000000000256e+01 2.669000000000000081e-16
4.103000000000000114e+01 2.652000000000000002e-16
4.247999999999999687e+01 2.634999999999999923e-16
4.397999999999999687e+01 2.616000000000000008e-16
4.553000000000000114e+01 2.596000000000000176e-16
4.714000000000000057e+01 2.574999999999999934e-16
4.879999999999999716e+01 2.550999999999999938e-16
5.053000000000000114e+01 2.526000000000000025e-16
5.231000000000000227e+01 2.498999999999999784e-16
5.415999999999999659e+01 2.468999999999999789e-16
5.607000000000000028e+01 2.437999999999999877e-16
5.804999999999999716e+01 2.404000000000000212e-16
6.010000000000000142e+01 2.366999999999999808e-16
6.222999999999999687e+01 2.328000000000000062e-16
6.442000000000000171e+01 2.286000000000000070e-16
6.670000000000000284e+01 2.240999999999999831e-16
6.906000000000000227e+01 2.193000000000000087e-16
7.148999999999999488e+01 2.143999999999999932e-16
7.401999999999999602e+01 2.091000000000000106e-16
7.662999999999999545e+01 2.037000000000000116e-16
7.934000000000000341e+01 1.979999999999999880e-16
8.214000000000000057e+01 1.921999999999999973e-16
8.504000000000000625e+01 1.861999999999999984e-16
8.804999999999999716e+01 1.799999999999999913e-16
9.115999999999999659e+01 1.738000000000000089e-16
9.437999999999999545e+01 1.675000000000000101e-16
9.770999999999999375e+01 1.612000000000000112e-16
1.012000000000000028e+02 1.548999999999999877e-16
1.047000000000000028e+02 1.487000000000000053e-16
1.084000000000000057e+02 1.424999999999999983e-16
1.122999999999999972e+02 1.364000000000000076e-16
1.162000000000000028e+02 1.304000000000000087e-16
1.202999999999999972e+02 1.245999999999999934e-16
1.245999999999999943e+02 1.188999999999999944e-16
1.290000000000000000e+02 1.134000000000000036e-16
1.335000000000000000e+02 1.080999999999999964e-16
1.383000000000000114e+02 1.029999999999999974e-16
1.430999999999999943e+02 9.806999999999999662e-17
1.481999999999999886e+02 9.337000000000000160e-17
1.534000000000000057e+02 8.888000000000000161e-17
1.589000000000000057e+02 8.458999999999999748e-17
1.645000000000000000e+02 8.054999999999999740e-17
1.703000000000000114e+02 7.666999999999999648e-17
1.763000000000000114e+02 7.299000000000000374e-17
1.825000000000000000e+02 6.949999999999999534e-17
1.890000000000000000e+02 6.617999999999999760e-17
1.955999999999999943e+02 6.304999999999999654e-17
2.025999999999999943e+02 6.005999999999999627e-17
2.096999999999999886e+02 5.726000000000000501e-17
2.170999999999999943e+02 5.460000000000000221e-17
2.248000000000000114e+02 5.208999999999999939e-17
2.326999999999999886e+02 4.971999999999999736e-17
2.409000000000000057e+02 4.746999999999999778e-17
2.495000000000000000e+02 4.534000000000000064e-17
2.583000000000000114e+02 4.332999999999999978e-17
2.673999999999999773e+02 4.142000000000000301e-17
2.768000000000000114e+02 3.961999999999999718e-17
2.866000000000000227e+02 3.791000000000000243e-17
2.966999999999999886e+02 3.629000000000000026e-17
3.071999999999999886e+02 3.474999999999999767e-17
3.181000000000000227e+02 3.329000000000000082e-17
3.293000000000000114e+02 3.189999999999999820e-17
3.408999999999999773e+02 3.058000000000000214e-17
3.530000000000000000e+02 2.933000000000000032e-17
3.653999999999999773e+02 2.813000000000000054e-17
3.783000000000000114e+02 2.698999999999999890e-17
3.916999999999999886e+02 2.590999999999999849e-17
4.055000000000000000e+02 2.487000000000000094e-17
4.198999999999999773e+02 2.389000000000000153e-17
4.346999999999999886e+02 2.293999999999999965e-17
4.501000000000000227e+02 2.203999999999999982e-17
4.660000000000000000e+02 2.117000000000000060e-17
4.823999999999999773e+02 2.034000000000000116e-17
4.995000000000000000e+02 1.953999999999999926e-17
5.171000000000000227e+02 1.878000000000000022e-17
5.353999999999999773e+02 1.804999999999999871e-17
5.542999999999999545e+02 1.736000000000000007e-17
5.737999999999999545e+02 1.668000000000000061e-17
5.941000000000000227e+02 1.604000000000000093e-17
6.151000000000000227e+02 1.541999999999999961e-17
6.367999999999999545e+02 1.482999999999999890e-17
6.592999999999999545e+02 1.425999999999999962e-17
6.826000000000000227e+02 1.371000000000000023e-17
7.067000000000000455e+02 1.318000000000000074e-17
7.317000000000000455e+02 1.268000000000000032e-17
7.575000000000000000e+02 1.219000000000000062e-17
7.842999999999999545e+02 1.171999999999999927e-17
8.120000000000000000e+02 1.126000000000000017e-17
8.407000000000000455e+02 1.083000000000000015e-17
8.703999999999999773e+02 1.040999999999999930e-17
9.011000000000000227e+02 1.000000000000000072e-17
9.328999999999999773e+02 9.613999999999999842e-18
9.658999999999999773e+02 9.238999999999999911e-18
1.000000000000000000e+03 8.873000000000000472e-18
-----------------------


C32 O2 Excitation 0.19 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 1.426000000000000095e-25
1.350999999999999979e+01 5.731000000000000304e-25
1.399000000000000021e+01 1.397000000000000085e-24
1.448000000000000043e+01 3.052999999999999988e-24
1.499000000000000021e+01 6.351999999999999648e-24
1.551999999999999957e+01 1.311999999999999959e-23
1.607000000000000028e+01 2.646000000000000075e-23
1.664000000000000057e+01 5.263999999999999789e-23
1.723000000000000043e+01 1.011999999999999985e-22
1.782999999999999829e+01 1.903000000000000071e-22
1.846000000000000085e+01 3.505999999999999962e-22
1.912000000000000099e+01 6.327999999999999892e-22
1.978999999999999915e+01 1.136000000000000051e-21
2.048999999999999844e+01 1.970000000000000173e-21
2.121000000000000085e+01 3.355999999999999873e-21
2.196000000000000085e+01 5.614000000000000218e-21
2.273999999999999844e+01 9.232999999999999809e-21
2.353999999999999915e+01 1.492999999999999851e-20
2.437000000000000099e+01 2.395999999999999976e-20
2.523999999999999844e+01 3.751999999999999733e-20
2.612999999999999901e+01 5.787999999999999795e-20
2.705000000000000071e+01 8.801000000000000152e-20
2.801000000000000156e+01 1.320000000000000006e-19
2.898999999999999844e+01 1.952000000000000042e-19
3.001999999999999957e+01 2.850999999999999794e-19
3.107999999999999829e+01 4.110000000000000182e-19
3.217999999999999972e+01 5.880999999999999753e-19
3.331000000000000227e+01 8.274000000000000231e-19
3.449000000000000199e+01 1.151000000000000077e-18
3.571000000000000085e+01 1.582999999999999974e-18
3.696999999999999886e+01 2.155000000000000089e-18
3.827000000000000313e+01 2.902999999999999883e-18
3.963000000000000256e+01 3.871999999999999889e-18
4.103000000000000114e+01 5.122000000000000171e-18
4.247999999999999687e+01 6.699999999999999786e-18
4.397999999999999687e+01 8.683999999999999398e-18
4.553000000000000114e+01 1.116000000000000071e-17
4.714000000000000057e+01 1.421000000000000065e-17
4.879999999999999716e+01 1.793999999999999853e-17
5.053000000000000114e+01 2.247000000000000138e-17
5.231000000000000227e+01 2.795000000000000304e-17
5.415999999999999659e+01 3.444999999999999773e-17
5.607000000000000028e+01 4.213000000000000000e-17
5.804999999999999716e+01 5.112999999999999833e-17
6.010000000000000142e+01 6.160000000000000502e-17
6.222999999999999687e+01 7.367999999999999621e-17
6.442000000000000171e+01 8.748000000000000598e-17
6.670000000000000284e+01 1.032999999999999973e-16
6.906000000000000227e+01 1.209999999999999940e-16
7.148999999999999488e+01 1.406999999999999986e-16
7.401999999999999602e+01 1.625000000000000028e-16
7.662999999999999545e+01 1.864999999999999983e-16
7.934000000000000341e+01 2.127000000000000099e-16
8.214000000000000057e+01 2.408999999999999800e-16
8.504000000000000625e+01 2.712999999999999908e-16
8.804999999999999716e+01 3.037999999999999766e-16
9.115999999999999659e+01 3.382000000000000031e-16
9.437999999999999545e+01 3.743999999999999799e-16
9.770999999999999375e+01 4.123000000000000140e-16
1.012000000000000028e+02 4.517000000000000231e-16
1.047000000000000028e+02 4.923999999999999745e-16
1.084000000000000057e+02 5.341999999999999832e-16
1.122999999999999972e+02 5.768999999999999671e-16
1.162000000000000028e+02 6.203000000000000412e-16
1.202999999999999972e+02 6.642000000000000249e-16
1.245999999999999943e+02 7.084000000000000331e-16
1.290000000000000000e+02 7.526999999999999838e-16
1.335000000000000000e+02 7.970999999999999756e-16
1.383000000000000114e+02 8.411000000000000003e-16
1.430999999999999943e+02 8.846999999999999594e-16
1.481999999999999886e+02 9.278000000000000089e-16
1.534000000000000057e+02 9.700999999999999271e-16
1.589000000000000057e+02 1.012000000000000075e-15
1.645000000000000000e+02 1.051999999999999937e-15
1.703000000000000114e+02 1.091999999999999995e-15
1.763000000000000114e+02 1.130000000000000021e-15
1.825000000000000000e+02 1.168000000000000047e-15
1.890000000000000000e+02 1.204000000000000040e-15
1.955999999999999943e+02 1.239000000000000017e-15
2.025999999999999943e+02 1.272999999999999978e-15
2.096999999999999886e+02 1.304999999999999906e-15
2.170999999999999943e+02 1.334999999999999999e-15
2.248000000000000114e+02 1.365000000000000092e-15
2.326999999999999886e+02 1.391999999999999939e-15
2.409000000000000057e+02 1.417999999999999967e-15
2.495000000000000000e+02 1.442999999999999979e-15
2.583000000000000114e+02 1.465999999999999959e-15
2.673999999999999773e+02 1.487999999999999922e-15
2.768000000000000114e+02 1.508000000000000049e-15
2.866000000000000227e+02 1.526999999999999964e-15
2.966999999999999886e+02 1.544000000000000043e-15
3.071999999999999886e+02 1.559000000000000089e-15
3.181000000000000227e+02 1.572999999999999922e-15
3.293000000000000114e+02 1.585999999999999936e-15
3.408999999999999773e+02 1.595999999999999902e-15
3.530000000000000000e+02 1.606000000000000064e-15
3.653999999999999773e+02 1.613999999999999997e-15
3.783000000000000114e+02 1.620000000000000094e-15
3.916999999999999886e+02 1.624999999999999978e-15
4.055000000000000000e+02 1.628000000000000027e-15
4.198999999999999773e+02 1.630000000000000060e-15
4.346999999999999886e+02 1.631000000000000076e-15
4.501000000000000227e+02 1.630000000000000060e-15
4.660000000000000000e+02 1.628000000000000027e-15
4.823999999999999773e+02 1.624999999999999978e-15
4.995000000000000000e+02 1.620999999999999913e-15
5.171000000000000227e+02 1.615000000000000013e-15
5.353999999999999773e+02 1.608000000000000097e-15
5.542999999999999545e+02 1.598999999999999950e-15
5.737999999999999545e+02 1.590000000000000001e-15
5.941000000000000227e+02 1.579000000000000020e-15
6.151000000000000227e+02 1.567000000000000022e-15
6.367999999999999545e+02 1.555000000000000024e-15
6.592999999999999545e+02 1.540999999999999994e-15
6.826000000000000227e+02 1.525999999999999947e-15
7.067000000000000455e+02 1.510000000000000082e-15
7.317000000000000455e+02 1.494000000000000019e-15
7.575000000000000000e+02 1.475999999999999924e-15
7.842999999999999545e+02 1.458000000000000026e-15
8.120000000000000000e+02 1.438999999999999914e-15
8.407000000000000455e+02 1.418999999999999984e-15
8.703999999999999773e+02 1.398000000000000037e-15
9.011000000000000227e+02 1.377000000000000090e-15
9.328999999999999773e+02 1.354999999999999930e-15
9.658999999999999773e+02 1.332999999999999967e-15
1.000000000000000000e+03 1.309999999999999987e-15
-----------------------


C33 O2 Excitation 0.38 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 4.003999999999999649e-18
1.034999999999999920e+00 4.621000000000000294e-18
1.072000000000000064e+00 5.318999999999999970e-18
1.110000000000000098e+00 6.105000000000000256e-18
1.149000000000000021e+00 6.989000000000000328e-18
1.189999999999999947e+00 7.979000000000000453e-18
1.231999999999999984e+00 9.084000000000000351e-18
1.274999999999999911e+00 1.030999999999999984e-17
1.320000000000000062e+00 1.167000000000000030e-17
1.366999999999999993e+00 1.318000000000000074e-17
1.415000000000000036e+00 1.482999999999999890e-17
1.465000000000000080e+00 1.662999999999999856e-17
1.516999999999999904e+00 1.859999999999999964e-17
1.570000000000000062e+00 2.073999999999999903e-17
1.625999999999999890e+00 2.304999999999999984e-17
1.683000000000000052e+00 2.552999999999999897e-17
1.743000000000000105e+00 2.818000000000000259e-17
1.804000000000000048e+00 3.103000000000000206e-17
1.868000000000000105e+00 3.402000000000000233e-17
1.933999999999999941e+00 3.717000000000000174e-17
2.001999999999999780e+00 4.047000000000000113e-17
2.072999999999999954e+00 4.391000000000000132e-17
2.145999999999999908e+00 4.746999999999999778e-17
2.221999999999999975e+00 5.113999999999999751e-17
2.299999999999999822e+00 5.490000000000000216e-17
2.382000000000000117e+00 5.871999999999999570e-17
2.466000000000000192e+00 6.258999999999999744e-17
2.552999999999999936e+00 6.647999999999999755e-17
2.642999999999999794e+00 7.036999999999999765e-17
2.736000000000000210e+00 7.423000000000000022e-17
2.833000000000000185e+00 7.803999999999999458e-17
2.932999999999999829e+00 8.178999999999999389e-17
3.036999999999999922e+00 8.543000000000000225e-17
3.144000000000000128e+00 8.896999999999999420e-17
3.254999999999999893e+00 9.237999999999999686e-17
3.370000000000000107e+00 9.563999999999999954e-17
3.488999999999999879e+00 9.874000000000000307e-17
3.612000000000000099e+00 1.017000000000000058e-16
3.740000000000000213e+00 1.044000000000000053e-16
3.871999999999999886e+00 1.070000000000000007e-16
4.009000000000000341e+00 1.094000000000000003e-16
4.150000000000000355e+00 1.116000000000000040e-16
4.296999999999999709e+00 1.136000000000000118e-16
4.448999999999999844e+00 1.155000000000000033e-16
4.605999999999999872e+00 1.170999999999999947e-16
4.769000000000000128e+00 1.185999999999999945e-16
4.937000000000000277e+00 1.200000000000000024e-16
5.110999999999999766e+00 1.211000000000000104e-16
5.291999999999999815e+00 1.221000000000000020e-16
5.479000000000000092e+00 1.230000000000000019e-16
5.671999999999999709e+00 1.238000000000000099e-16
5.873000000000000220e+00 1.244000000000000098e-16
6.080000000000000071e+00 1.248999999999999933e-16
6.294999999999999929e+00 1.253000000000000097e-16
6.517000000000000348e+00 1.256000000000000096e-16
6.748000000000000220e+00 1.257999999999999931e-16
6.985999999999999766e+00 1.260000000000000013e-16
7.232999999999999652e+00 1.260999999999999931e-16
7.488000000000000433e+00 1.260999999999999931e-16
7.753000000000000114e+00 1.260000000000000013e-16
8.025999999999999801e+00 1.259000000000000095e-16
8.310000000000000497e+00 1.257999999999999931e-16
8.602999999999999758e+00 1.256000000000000096e-16
